epoch,val_loss,elapsed,test_softmin,mean_pnl,std_pnl,fees_mean
200,8.960418701171875,24.54693302512169,nan,nan,nan,nan
400,8.93248176574707,49.07125617610291,nan,nan,nan,nan
600,8.905263900756836,73.70993014704436,nan,nan,nan,nan
800,8.903157234191895,98.24978549173102,nan,nan,nan,nan
1000,8.899396896362305,122.61170290783048,nan,nan,nan,nan
1200,8.88530158996582,147.18312260881066,nan,nan,nan,nan
1400,8.871383666992188,171.16864096699283,nan,nan,nan,nan
1600,8.89594554901123,195.41886845510453,nan,nan,nan,nan
1800,8.876876831054688,220.00527260173112,nan,nan,nan,nan
2000,8.874288558959961,244.40959152113646,nan,nan,nan,nan
2200,8.883804321289062,268.8144967779517,nan,nan,nan,nan
2400,8.879343032836914,293.3180328919552,nan,nan,nan,nan
2600,8.866764068603516,318.0396016361192,nan,nan,nan,nan
2800,8.886344909667969,342.8086774479598,nan,nan,nan,nan
3000,8.88709545135498,367.95508589502424,nan,nan,nan,nan
3200,8.890860557556152,393.11761607509106,nan,nan,nan,nan
3400,8.923110961914062,418.0977364978753,nan,nan,nan,nan
3600,8.87150764465332,443.18677218677476,nan,nan,nan,nan
3800,8.911006927490234,468.1212756759487,nan,nan,nan,nan
4000,8.88542366027832,493.19987105578184,nan,nan,nan,nan
4200,8.884008407592773,518.0123442988843,nan,nan,nan,nan
4400,8.901912689208984,542.7183936587535,nan,nan,nan,nan
4600,8.883583068847656,567.4922231570818,nan,nan,nan,nan
4800,8.888360977172852,592.3487681779079,nan,nan,nan,nan
5000,8.882009506225586,617.0770170418546,nan,nan,nan,nan
5200,8.886194229125977,641.4246049700305,nan,nan,nan,nan
5400,8.890472412109375,666.5731660518795,nan,nan,nan,nan
5600,8.879352569580078,691.1602964359336,nan,nan,nan,nan
5800,8.869487762451172,715.6258127531037,nan,nan,nan,nan
6000,8.88206672668457,739.914142027963,nan,nan,nan,nan
6200,8.87862777709961,764.3856896269135,nan,nan,nan,nan
6400,8.864921569824219,788.7844280027784,nan,nan,nan,nan
6600,8.893754959106445,812.9692891561426,nan,nan,nan,nan
6800,8.89794921875,837.7019787258469,nan,nan,nan,nan
7000,8.886165618896484,861.9920421061106,nan,nan,nan,nan
7200,8.88309383392334,886.222980372142,nan,nan,nan,nan
7400,8.869982719421387,910.3519449620508,nan,nan,nan,nan
7600,8.867541313171387,934.4262359049171,nan,nan,nan,nan
7800,8.877679824829102,958.596359772142,nan,nan,nan,nan
8000,8.878133773803711,982.8108031470329,nan,nan,nan,nan
8200,8.898014068603516,1007.2748767877929,nan,nan,nan,nan
8400,8.871349334716797,1032.1724042580463,nan,nan,nan,nan
8600,8.860730171203613,1057.0993305388838,nan,nan,nan,nan
8800,8.889579772949219,1081.9668911080807,nan,nan,nan,nan
9000,8.863895416259766,1107.1192470779642,nan,nan,nan,nan
9200,8.86378288269043,1132.5036069569178,nan,nan,nan,nan
9400,8.885030746459961,1157.48458746681,nan,nan,nan,nan
9600,8.8725004196167,1182.4470238927752,nan,nan,nan,nan
9800,8.851335525512695,1207.5236631087027,nan,nan,nan,nan
10000,8.90060806274414,1232.2084757820703,nan,nan,nan,nan
10000,8.90060806274414,1232.2376638548449,8.961334228515625,-7.9198079109191895,1.4369765520095825,0.0
