epoch,val_loss,elapsed,log_std,std,beta,test_softmin,mean_pnl,std_pnl,fees_mean
200,24.09195899963379,14.981965460348874,-0.1898602396249771,0.8270747661590576,0.04623710181180931,nan,nan,nan,nan
400,21.970001220703125,29.956602562218904,-0.36312100291252136,0.6955022811889648,0.04275739167911238,nan,nan,nan,nan
600,18.46340560913086,44.977640736382455,-0.5240600109100342,0.5921117067337036,0.03953955744549055,nan,nan,nan,nan
800,15.540032386779785,59.915700467303395,-0.6721625328063965,0.5106031894683838,0.03656389086402058,nan,nan,nan,nan
1000,15.761478424072266,74.76643253816292,-0.8109171390533447,0.4444502890110016,0.03381216689031207,nan,nan,nan,nan
1200,13.666312217712402,89.60087327798828,-0.9420307278633118,0.389835387468338,0.03126753205970494,nan,nan,nan,nan
1400,11.741150856018066,104.75980739109218,-1.0664905309677124,0.34421437978744507,0.028914401264971773,nan,nan,nan,nan
1600,13.204669952392578,119.59379421221092,-1.1867649555206299,0.3052070438861847,0.026738362302320153,nan,nan,nan,nan
1800,12.045343399047852,134.47901061037555,-1.2996571063995361,0.27262523770332336,0.024726087601068415,nan,nan,nan,nan
2000,10.783665657043457,149.3258863631636,-1.4102131128311157,0.24409125745296478,0.02286525259636632,nan,nan,nan,nan
2200,13.430253982543945,164.17720733303577,-1.5150212049484253,0.21980354189872742,0.02114446024501853,nan,nan,nan,nan
2400,9.996709823608398,178.97117747319862,-1.615684151649475,0.19875465333461761,0.019553171222093522,nan,nan,nan,nan
2600,10.649398803710938,193.67689975630492,-1.712546706199646,0.18040576577186584,0.018081639370793556,nan,nan,nan,nan
2800,9.731154441833496,208.46573921199888,-1.8066706657409668,0.16419990360736847,0.016720852010236025,nan,nan,nan,nan
3000,9.814380645751953,223.11507704434916,-1.9004963636398315,0.14949440956115723,0.015462474735549587,nan,nan,nan,nan
3200,10.102529525756836,237.675426970236,-1.9895741939544678,0.1367536336183548,0.014298800372202708,nan,nan,nan,nan
3400,9.328054428100586,252.20248181605712,-2.0736491680145264,0.1257261484861374,0.013222701771925466,nan,nan,nan,nan
3600,9.627644538879395,266.6961122620851,-2.155651807785034,0.11582766473293304,0.012227588161114182,nan,nan,nan,nan
3800,9.415374755859375,281.2986780819483,-2.2329022884368896,0.10721679776906967,0.01130736477436621,nan,nan,nan,nan
4000,9.320392608642578,295.77948764618486,-2.3083019256591797,0.09942995011806488,0.010456395525912732,nan,nan,nan,nan
4200,9.237565994262695,310.25448865722865,-2.381455421447754,0.09241597354412079,0.009669468490323487,nan,nan,nan,nan
4400,9.144176483154297,324.73379945522174,-2.4511568546295166,0.08619381487369537,0.00894176398106338,nan,nan,nan,nan
4600,9.488962173461914,339.30520474910736,-2.519380569458008,0.08050946146249771,0.008268825031391936,nan,nan,nan,nan
4800,9.221345901489258,354.0238417442888,-2.584921360015869,0.07540200650691986,0.007646530096810125,nan,nan,nan,nan
5000,9.066765785217285,368.62670705420896,-2.6484389305114746,0.07076159119606018,0.007071067811865475,nan,nan,nan,nan
5200,9.272565841674805,383.1625608233735,-2.711604118347168,0.06643016636371613,0.0065389136467086315,nan,nan,nan,nan
5400,9.085203170776367,397.61756148422137,-2.7723302841186523,0.06251615285873413,0.0060468083204299255,nan,nan,nan,nan
5600,9.017637252807617,412.1603663833812,-2.831251859664917,0.05893902853131294,0.005591737838964281,nan,nan,nan,nan
5800,8.97441577911377,426.7600315720774,-2.8887054920196533,0.05564820393919945,0.005170915035302762,nan,nan,nan,nan
6000,9.041345596313477,441.3280419562943,-2.9464340209960938,0.05252668261528015,0.004781762498950185,nan,nan,nan,nan
6200,8.993545532226562,455.9656928530894,-3.001539707183838,0.0497104674577713,0.004421896790077028,nan,nan,nan,nan
6400,9.005746841430664,470.4033442949876,-3.0559263229370117,0.047079093754291534,0.004089113841682086,nan,nan,nan,nan
6600,9.187568664550781,484.8187073143199,-3.1077382564544678,0.044701945036649704,0.0037813754603586653,nan,nan,nan,nan
6800,9.729836463928223,499.25094978231937,-3.160674571990967,0.04239713028073311,0.003496796842985617,nan,nan,nan,nan
7000,9.018291473388672,513.7033161213621,-3.2146801948547363,0.04016817733645439,0.003233635032886788,nan,nan,nan,nan
7200,9.013725280761719,528.1075571919791,-3.267651081085205,0.038095805794000626,0.0029902782447563947,nan,nan,nan,nan
7400,9.068199157714844,542.5271602990106,-3.3182201385498047,0.036217235028743744,0.0027652359929687966,nan,nan,nan,nan
7600,8.956951141357422,557.2045314460993,-3.3684322834014893,0.03444359451532364,0.0025571299628115566,nan,nan,nan,nan
7800,8.955597877502441,572.3982870653272,-3.4176743030548096,0.032788604497909546,0.0023646855687309218,nan,nan,nan,nan
8000,8.959640502929688,587.7095238640904,-3.4675943851470947,0.031191976740956306,0.002186724147886556,nan,nan,nan,nan
8200,9.060426712036133,602.7991566830315,-3.5156466960906982,0.029728570953011513,0.0020221557412034535,nan,nan,nan,nan
8400,9.007621765136719,617.9838395789266,-3.565826654434204,0.028273602947592735,0.0018699724177071754,nan,nan,nan,nan
8600,8.946168899536133,633.2320713461377,-3.6159706115722656,0.026890812441706657,0.0017292421012560372,nan,nan,nan,nan
8800,8.971455574035645,648.4696877039969,-3.66475510597229,0.025610443204641342,0.001599102861860849,nan,nan,nan,nan
9000,9.012040138244629,663.6923819673248,-3.712587833404541,0.024414261803030968,0.001478757636628314,nan,nan,nan,nan
9200,8.990676879882812,678.7412031581625,-3.7603774070739746,0.02327495627105236,0.001367469347995477,nan,nan,nan,nan
9400,8.956409454345703,693.6598131270148,-3.8098325729370117,0.0221518874168396,0.0012645563893559076,nan,nan,nan,nan
9600,8.923686981201172,708.6710155899636,-3.858762264251709,0.02109409309923649,0.0011693884504284612,nan,nan,nan,nan
9800,8.908578872680664,723.7026168121956,-3.90604829788208,0.02011985145509243,0.0010813826568002933,nan,nan,nan,nan
