epoch,val_loss,elapsed
200,60.640228271484375,15.41068954905495
400,92.37591552734375,30.83444492192939
600,96.920166015625,46.36034881789237
800,97.95439147949219,64.9079975001514
1000,94.47285461425781,80.33373340917751
1200,93.85687255859375,95.73243099218234
1400,89.35281372070312,111.00526939099655
1600,93.99179077148438,126.44929978298023
1800,110.41189575195312,141.80236055934802
2000,112.22576904296875,157.34190549701452
2200,110.06071472167969,172.84697343502194
2400,110.52519226074219,188.2041884022765
2600,109.99685668945312,203.78379596909508
2800,108.40788269042969,219.29543325398117
3000,109.82290649414062,234.77638201089576
3200,113.85673522949219,250.19537397334352
3400,108.47430419921875,265.6144576659426
3600,107.78953552246094,281.12979212310165
3800,99.70231628417969,296.77961548790336
4000,99.62480163574219,312.1042267009616
4200,116.31842041015625,326.98815064830706
4400,87.7468032836914,341.334657184314
4600,83.27281951904297,355.6028084391728
4800,101.55947875976562,370.3800064921379
5000,104.25386047363281,385.1475847340189
5200,107.27352905273438,399.98875853791833
5400,93.31401062011719,414.88757539493963
5600,91.78668975830078,429.9900372782722
5800,91.58544921875,444.8855507322587
6000,106.58938598632812,459.87292696908116
6200,113.73037719726562,474.9559271922335
6400,108.20088195800781,490.00001347390935
6600,106.44059753417969,504.97743525216356
6800,108.384765625,520.1161992219277
7000,96.47737884521484,535.3696993100457
7200,105.23570251464844,550.6913131400943
7400,107.82304382324219,565.866430036258
7600,104.97309875488281,580.8652784703299
7800,95.26156616210938,595.9129342050292
8000,115.00352478027344,611.0459769470617
8200,120.10487365722656,626.0772312963381
8400,119.63252258300781,641.0969784869812
8600,119.46011352539062,656.0535503472202
8800,119.67140197753906,671.1055217231624
9000,119.6646728515625,686.2987688230351
9200,119.01388549804688,701.4242181400768
9400,120.71493530273438,716.6027442603372
9600,121.65153503417969,731.6602654252201
9800,121.58146667480469,746.8580425060354
10000,120.79801940917969,762.149691216182
