n_quad,phi_max,kind,label,batch_size,cost,cost_label,softmin,mean_pnl,std_pnl,fees_mean,elapsed_compute_sec,rmse_delta_vs_ref,max_abs_delta_vs_ref,dh_deviation_softmin,gap_vs_dh_deviation,gap_vs_ref_mv
4096,200.0,node_curve,q4096_phi200,1024,0.001,cost10bp,9.487939744948294,-8.13916529247927,1.350997499051391,0.22430283557126926,1.012643311638385,2.335409911405077e-07,7.91744469549327e-05,9.159543991088867,0.3283957538594269,-1.2375247493423558e-08
8192,200.0,node_curve,q8192_phi200,512,0.0,cost0,9.19656694060486,-7.914862456908064,1.3407931077990543,0.0,1.985311714001,2.335409415372023e-07,7.917443614868791e-05,8.957175254821777,0.23939168578308312,-1.6293309812454027e-08
8192,200.0,node_curve,q8192_phi200,512,0.001,cost10bp,9.487939744891246,-8.139165292476656,1.3509974990476386,0.2243028355685969,1.985311714001,2.335409415372023e-07,7.917443614868791e-05,9.159543991088867,0.3283957538023792,-1.2432295193320897e-08
2048,50.0,truncation_check,q2048_phi50,1024,0.0,cost0,9.241674636250927,-7.912499452014858,1.3491769760741326,0.0,0.744964949786663,0.008445288639811992,0.1554376862040242,8.957175254821777,0.2844993814291499,0.045107679352756946
2048,50.0,truncation_check,q2048_phi50,1024,0.001,cost10bp,9.535948632414662,-8.139675290677324,1.3592855568569722,0.22717583866246582,0.744964949786663,0.008445288639811992,0.1554376862040242,9.159543991088867,0.3764046413257951,0.04800887509112073
2048,100.0,truncation_check,q2048_phi100,1024,0.0,cost0,9.196490616497695,-7.914793674962494,1.3408050877421893,0.0,0.744433430954814,0.0002728111460497294,0.019399958527212546,8.957175254821777,0.23931536167591716,-7.634040047577173e-05
2048,100.0,truncation_check,q2048_phi100,1024,0.001,cost10bp,9.487881812923701,-8.13913955555931,1.3510119036486856,0.22434588059681837,0.744433430954814,0.0002728111460497294,0.019399958527212546,9.159543991088867,0.3283378218348343,-5.794439984008193e-05
4096,400.0,truncation_check,q4096_phi400,1024,0.0,cost0,9.1965669569998,-7.9148624753198735,1.340793142324805,0.0,1.003422339912504,1.0045874163957038e-11,7.153665189963197e-11,8.957175254821777,0.23939170217802186,1.0162892749576713e-10
4096,400.0,truncation_check,q4096_phi400,1024,0.001,cost10bp,9.48793975744067,-8.139165304676846,1.350997533688456,0.22430282935697077,1.003422339912504,1.0045874163957038e-11,7.153665189963197e-11,9.159543991088867,0.328395766351802,1.1712764091953431e-10
8192,100.0,truncation_check,q8192_phi100,512,0.0,cost0,9.196490616467038,-7.914793674962528,1.340805087741625,0.0,2.0179877863265574,0.0002728111460524238,0.01939995853616927,8.957175254821777,0.2393153616452608,-7.634043113213806e-05
8192,100.0,truncation_check,q8192_phi100,512,0.001,cost10bp,9.487881812888336,-8.139139555557668,1.3510119036463384,0.22434588059514035,2.0179877863265574,0.0002728111460524238,0.01939995853616927,9.159543991088867,0.3283378217994688,-5.7944435205570244e-05
8192,400.0,truncation_check,q8192_phi400,512,0.0,cost0,9.19656695689817,-7.9148624753200245,1.34079314232295,0.0,2.0106339370831847,0.0,0.0,8.957175254821777,0.23939170207639293,0.0
8192,400.0,truncation_check,q8192_phi400,512,0.001,cost10bp,9.487939757323542,-8.139165304671526,1.3509975336807643,0.22430282935150372,2.0106339370831847,0.0,0.0,9.159543991088867,0.32839576623467437,0.0
8192,800.0,truncation_check,q8192_phi800,512,0.0,cost0,9.196566956731811,-7.914862475320263,1.340793142319894,0.0,2.0231191110797226,1.6265497717468162e-11,1.1311770047619734e-10,8.957175254821777,0.23939170191003356,-1.6635937072351226e-10
8192,800.0,truncation_check,q8192_phi800,512,0.001,cost10bp,9.487939757131898,-8.139165304662885,1.3509975336682143,0.22430282934262155,2.0231191110797226,1.6265497717468162e-11,1.1311770047619734e-10,9.159543991088867,0.32839576604303033,-1.9164403397553542e-10
