epoch,val_loss,elapsed
200,9.144571304321289,38.19714721105993
400,9.188176155090332,76.65165549051017
600,9.315995216369629,115.84997983369976
800,9.172351837158203,154.75569992884994
1000,9.16683578491211,194.12608247157186
1200,9.171416282653809,232.71156270522624
1400,9.14091968536377,271.52615427505225
1600,9.15511703491211,309.86485944967717
1800,9.14091682434082,348.3510602051392
2000,9.130922317504883,387.054283070378
2200,9.124350547790527,426.3499470455572
2400,9.151901245117188,465.45521414652467
2600,9.143373489379883,505.68600105680525
2800,9.185955047607422,545.7717841695994
3000,9.120931625366211,585.7272877572104
3200,9.184066772460938,624.8742494937032
3400,9.139969825744629,663.7007133392617
3600,9.126449584960938,702.7609340110794
3800,9.127464294433594,741.3419955540448
4000,9.149898529052734,779.521874120459
4200,9.125186920166016,817.9430683078244
4400,9.127229690551758,856.3684932366014
4600,9.179656982421875,894.841568198055
4800,9.16215991973877,933.4832486985251
5000,9.166178703308105,971.584041684866
5200,9.119806289672852,1010.6725057493895
5400,9.147790908813477,1049.2123520765454
5600,9.167945861816406,1087.5911194095388
5800,9.139331817626953,1125.6117727980018
6000,9.14382553100586,1163.5255625136197
6200,9.136308670043945,1202.3172550192103
6400,9.145803451538086,1241.078915306367
6600,9.151254653930664,1280.6445091646165
6800,9.155033111572266,1320.3686824515462
7000,9.15530014038086,1359.3934852350503
7200,9.143312454223633,1398.5629812851548
7400,9.152225494384766,1437.3921296149492
7600,9.142230987548828,1475.7201516516507
7800,9.124704360961914,1514.3581554293633
8000,9.119239807128906,1553.809825138189
8200,9.131929397583008,1593.2501969598234
8400,9.120956420898438,1633.627467292361
8600,9.130827903747559,1672.6777983345091
8800,9.127204895019531,1710.0985022392124
9000,9.12003231048584,1748.9860670911148
9200,9.141254425048828,1788.1237957263365
9400,9.181764602661133,1827.2138594575226
9600,9.236720085144043,1864.7369269253686
9800,9.127046585083008,1902.3673149943352
10000,9.111557960510254,1939.7356129055843
