epoch,val_loss,elapsed,log_std,std,beta,test_softmin,mean_pnl,std_pnl,fees_mean
200,34.33355712890625,14.374318460933864,-0.1921629160642624,0.8251724243164062,0.04623710181180931,nan,nan,nan,nan
400,29.125595092773438,28.68840466067195,-0.36631157994270325,0.6932867765426636,0.04275739167911238,nan,nan,nan,nan
600,24.628154754638672,42.97360342787579,-0.524750292301178,0.5917031168937683,0.03953955744549055,nan,nan,nan,nan
800,17.862009048461914,57.318551497068256,-0.6736850142478943,0.5098264217376709,0.03656389086402058,nan,nan,nan,nan
1000,14.879690170288086,71.6335812038742,-0.8163655996322632,0.4420352876186371,0.03381216689031207,nan,nan,nan,nan
1200,14.85728645324707,85.85906581906602,-0.9504122138023376,0.3865816295146942,0.03126753205970494,nan,nan,nan,nan
1400,16.819377899169922,100.18319290969521,-1.0775014162063599,0.3404451012611389,0.028914401264971773,nan,nan,nan,nan
1600,12.543476104736328,114.45116075780243,-1.194701910018921,0.3027941882610321,0.026738362302320153,nan,nan,nan,nan
1800,12.28255844116211,128.57060547778383,-1.3086496591567993,0.2701846659183502,0.024726087601068415,nan,nan,nan,nan
2000,11.817171096801758,142.76698978012428,-1.4203908443450928,0.2416195571422577,0.02286525259636632,nan,nan,nan,nan
2200,10.41769790649414,157.02395460987464,-1.5254586935043335,0.21752126514911652,0.02114446024501853,nan,nan,nan,nan
2400,14.372505187988281,171.94731189496815,-1.6270424127578735,0.19650991261005402,0.019553171222093522,nan,nan,nan,nan
2600,11.102171897888184,186.98828716902062,-1.7239340543746948,0.17836306989192963,0.018081639370793556,nan,nan,nan,nan
2800,10.974267959594727,201.95049991784617,-1.8176301717758179,0.162410169839859,0.016720852010236025,nan,nan,nan,nan
3000,9.828126907348633,217.03122516395524,-1.9100942611694336,0.1480664312839508,0.015462474735549587,nan,nan,nan,nan
3200,9.89860725402832,232.09938193811104,-1.9968185424804688,0.13576653599739075,0.014298800372202708,nan,nan,nan,nan
3400,9.670248985290527,247.21352853393182,-2.0810670852661133,0.12479697167873383,0.013222701771925466,nan,nan,nan,nan
3600,9.74614143371582,262.17484278511256,-2.1647698879241943,0.11477634310722351,0.012227588161114182,nan,nan,nan,nan
3800,9.868797302246094,277.26580883096904,-2.2444841861724854,0.10598219186067581,0.01130736477436621,nan,nan,nan,nan
4000,9.663496017456055,292.234185711015,-2.3201706409454346,0.09825681895017624,0.010456395525912732,nan,nan,nan,nan
4200,9.469596862792969,307.20489328494295,-2.3951337337493896,0.09116049110889435,0.009669468490323487,nan,nan,nan,nan
4400,9.433816909790039,322.0284953666851,-2.466398000717163,0.08489008247852325,0.00894176398106338,nan,nan,nan,nan
4600,9.37258243560791,336.9279353627935,-2.5345089435577393,0.0793006494641304,0.008268825031391936,nan,nan,nan,nan
4800,9.629009246826172,351.80170389590785,-2.604177474975586,0.0739639550447464,0.007646530096810125,nan,nan,nan,nan
5000,9.320453643798828,366.61106168990955,-2.6683764457702637,0.0693647563457489,0.007071067811865475,nan,nan,nan,nan
5200,9.44078254699707,381.5039679459296,-2.7310163974761963,0.06515303254127502,0.0065389136467086315,nan,nan,nan,nan
5400,9.285734176635742,396.38517089607194,-2.792304039001465,0.06127985939383507,0.0060468083204299255,nan,nan,nan,nan
5600,9.267571449279785,411.1574472608045,-2.853607177734375,0.057636041194200516,0.005591737838964281,nan,nan,nan,nan
5800,9.23068904876709,425.8990360577591,-2.9121389389038086,0.05435933545231819,0.005170915035302762,nan,nan,nan,nan
6000,9.34022331237793,440.58013635501266,-2.9681577682495117,0.051397908478975296,0.004781762498950185,nan,nan,nan,nan
6200,9.226048469543457,455.2020387179218,-3.0237181186676025,0.048620108515024185,0.004421896790077028,nan,nan,nan,nan
6400,9.365982055664062,469.82920551486313,-3.078462839126587,0.0460299588739872,0.004089113841682086,nan,nan,nan,nan
6600,9.213147163391113,484.6053230087273,-3.1323115825653076,0.04361685365438461,0.0037813754603586653,nan,nan,nan,nan
6800,9.443296432495117,499.2673029527068,-3.18603253364563,0.04133554548025131,0.003496796842985617,nan,nan,nan,nan
7000,9.213480949401855,513.9906702437438,-3.239833116531372,0.03917043283581734,0.003233635032886788,nan,nan,nan,nan
7200,9.278566360473633,528.544237929862,-3.292604684829712,0.03715694323182106,0.0029902782447563947,nan,nan,nan,nan
7400,9.255306243896484,543.238715626765,-3.346954584121704,0.0351913645863533,0.0027652359929687966,nan,nan,nan,nan
7600,9.172294616699219,558.1804369767196,-3.398252487182617,0.03343164175748825,0.0025571299628115566,nan,nan,nan,nan
7800,9.228372573852539,573.0353736560792,-3.4505178928375244,0.03172919899225235,0.0023646855687309218,nan,nan,nan,nan
8000,9.24013900756836,587.8804759639315,-3.4992644786834717,0.030219601467251778,0.002186724147886556,nan,nan,nan,nan
8200,9.333822250366211,602.607373113744,-3.5497677326202393,0.028731312602758408,0.0020221557412034535,nan,nan,nan,nan
8400,9.214077949523926,617.3264636378735,-3.6000094413757324,0.027323465794324875,0.0018699724177071754,nan,nan,nan,nan
8600,9.207972526550293,632.133614459075,-3.651447057723999,0.025953546166419983,0.0017292421012560372,nan,nan,nan,nan
8800,9.200967788696289,647.0208412618376,-3.7010114192962646,0.024698534980416298,0.001599102861860849,nan,nan,nan,nan
9000,9.209930419921875,661.8183135618456,-3.7507457733154297,0.023500213399529457,0.001478757636628314,nan,nan,nan,nan
9200,9.220565795898438,676.4829300870188,-3.7987983226776123,0.02239767089486122,0.001367469347995477,nan,nan,nan,nan
9400,9.229331970214844,691.114029163029,-3.847712993621826,0.021328458562493324,0.0012645563893559076,nan,nan,nan,nan
9600,9.22225570678711,705.6352895558812,-3.8975367546081543,0.020291833207011223,0.0011693884504284612,nan,nan,nan,nan
9800,9.157812118530273,720.2590567637235,-3.946575403213501,0.01932075433433056,0.0010813826568002933,nan,nan,nan,nan
10000,9.184459686279297,734.9666300420649,-3.995041847229004,0.01840667799115181,0.001,nan,nan,nan,nan
10000,9.184459686279297,734.9845594679937,nan,nan,nan,9.201438903808594,-8.129226684570312,1.531326413154602,0.20616333186626434
