epoch,val_loss,elapsed,test_softmin,mean_pnl,std_pnl,fees_mean
200,28.59914207458496,14.661637115292251,nan,nan,nan,nan
400,31.930286407470703,29.062780506443232,nan,nan,nan,nan
600,37.20573425292969,43.677201002370566,nan,nan,nan,nan
800,31.47352409362793,58.316652183420956,nan,nan,nan,nan
1000,32.64280319213867,73.03035794245079,nan,nan,nan,nan
1200,30.707714080810547,87.63922385405749,nan,nan,nan,nan
1400,32.67884063720703,102.21513128420338,nan,nan,nan,nan
1600,31.330669403076172,116.68255532812327,nan,nan,nan,nan
1800,31.89620018005371,131.2174834702164,nan,nan,nan,nan
2000,36.456966400146484,145.6695198500529,nan,nan,nan,nan
2200,107.98992919921875,160.65724292304367,nan,nan,nan,nan
2400,117.30224609375,175.70474288845435,nan,nan,nan,nan
2600,121.8380355834961,190.68029833724722,nan,nan,nan,nan
2800,123.3740234375,205.5361222331412,nan,nan,nan,nan
3000,121.62593078613281,220.43376600416377,nan,nan,nan,nan
3200,106.76542663574219,235.41357852099463,nan,nan,nan,nan
3400,105.8743896484375,250.2324086772278,nan,nan,nan,nan
3600,124.77345275878906,264.82480795821175,nan,nan,nan,nan
3800,95.60781860351562,279.35564789315686,nan,nan,nan,nan
4000,111.18318176269531,294.0281132562086,nan,nan,nan,nan
4200,86.34526824951172,308.60732846613973,nan,nan,nan,nan
4400,102.64910888671875,323.25424987543374,nan,nan,nan,nan
4600,84.59993743896484,337.9688847614452,nan,nan,nan,nan
4800,93.67007446289062,352.6604504971765,nan,nan,nan,nan
5000,91.98959350585938,367.3285868722014,nan,nan,nan,nan
5200,83.68112182617188,381.7519375872798,nan,nan,nan,nan
5400,87.12362670898438,396.2089596022852,nan,nan,nan,nan
5600,90.90264892578125,410.9046822451055,nan,nan,nan,nan
5800,89.61134338378906,425.68085019942373,nan,nan,nan,nan
6000,88.25720977783203,440.5976561033167,nan,nan,nan,nan
6200,87.97332000732422,455.1820835880935,nan,nan,nan,nan
6400,90.92729187011719,469.8789106584154,nan,nan,nan,nan
6600,95.61604309082031,484.6490672994405,nan,nan,nan,nan
6800,85.50141906738281,499.2406473532319,nan,nan,nan,nan
7000,91.01031494140625,513.9110019020736,nan,nan,nan,nan
7200,79.21293640136719,528.5026534050703,nan,nan,nan,nan
7400,77.13866424560547,543.0412086062133,nan,nan,nan,nan
7600,96.61138916015625,557.5707055451348,nan,nan,nan,nan
7800,92.42852783203125,572.5352300470695,nan,nan,nan,nan
8000,78.92354583740234,588.0098781492561,nan,nan,nan,nan
8200,71.88023376464844,603.2198790800758,nan,nan,nan,nan
8400,74.89698791503906,618.7199389161542,nan,nan,nan,nan
8600,72.0289077758789,634.2261473531835,nan,nan,nan,nan
8800,75.4747543334961,649.7441792762838,nan,nan,nan,nan
9000,73.51643371582031,665.230797002092,nan,nan,nan,nan
9200,68.67424011230469,680.3392862654291,nan,nan,nan,nan
9400,74.46481323242188,695.644453952089,nan,nan,nan,nan
9600,92.70162963867188,711.065138515085,nan,nan,nan,nan
9800,74.92378234863281,726.5472580841742,nan,nan,nan,nan
10000,63.88032531738281,741.9418765050359,nan,nan,nan,nan
10000,63.88032531738281,741.9603876490146,27.01291847229004,-8.149224281311035,6.4218363761901855,0.33227452635765076
