epoch,val_loss,elapsed,test_softmin,mean_pnl,std_pnl,fees_mean
200,9.348712921142578,17.40010084398091,nan,nan,nan,nan
400,9.198051452636719,34.743727184832096,nan,nan,nan,nan
600,9.189512252807617,52.44469909183681,nan,nan,nan,nan
800,9.310088157653809,69.60591599810869,nan,nan,nan,nan
1000,9.185504913330078,86.8092603776604,nan,nan,nan,nan
1200,9.270821571350098,104.27755967807025,nan,nan,nan,nan
1400,9.166647911071777,121.86462622368708,nan,nan,nan,nan
1600,9.194381713867188,139.31929901475087,nan,nan,nan,nan
1800,9.190685272216797,156.43717860011384,nan,nan,nan,nan
2000,9.284460067749023,173.64650858193636,nan,nan,nan,nan
2200,9.240349769592285,190.8005205290392,nan,nan,nan,nan
2400,9.244638442993164,207.9713408946991,nan,nan,nan,nan
2600,9.168716430664062,225.57563289999962,nan,nan,nan,nan
2800,9.162446975708008,242.89020106894895,nan,nan,nan,nan
3000,9.312646865844727,260.380062924698,nan,nan,nan,nan
3200,9.209900856018066,277.71966675901785,nan,nan,nan,nan
3400,9.22665023803711,294.9281988730654,nan,nan,nan,nan
3600,9.243608474731445,312.4049146878533,nan,nan,nan,nan
3800,9.22677230834961,329.71905180765316,nan,nan,nan,nan
4000,9.21701431274414,346.6400639489293,nan,nan,nan,nan
4200,9.228252410888672,363.8189754919149,nan,nan,nan,nan
4400,9.262289047241211,380.8437348138541,nan,nan,nan,nan
4600,9.205950736999512,398.08876643981785,nan,nan,nan,nan
4800,9.225452423095703,414.91575420089066,nan,nan,nan,nan
5000,9.900749206542969,431.82290485408157,nan,nan,nan,nan
5200,9.225446701049805,448.59768760111183,nan,nan,nan,nan
5400,9.216472625732422,465.3108675419353,nan,nan,nan,nan
5600,9.215280532836914,481.84856271510944,nan,nan,nan,nan
5800,9.206241607666016,498.4062429489568,nan,nan,nan,nan
6000,9.256109237670898,514.9208161719143,nan,nan,nan,nan
6200,9.161565780639648,531.4913423079997,nan,nan,nan,nan
6400,9.337278366088867,548.3699862849899,nan,nan,nan,nan
6600,9.173490524291992,565.6358842388727,nan,nan,nan,nan
6800,9.146625518798828,582.809909675736,nan,nan,nan,nan
7000,9.245140075683594,600.1407370558009,nan,nan,nan,nan
7200,9.10547161102295,617.6197429336607,nan,nan,nan,nan
7400,9.164348602294922,635.2033268809319,nan,nan,nan,nan
7600,9.272497177124023,652.5952901989222,nan,nan,nan,nan
7800,9.18477725982666,669.8312058020383,nan,nan,nan,nan
8000,9.37747573852539,687.1522402809933,nan,nan,nan,nan
8200,9.210546493530273,704.8141274340451,nan,nan,nan,nan
8400,9.414714813232422,722.3955440968275,nan,nan,nan,nan
8600,9.18890380859375,740.1672975127585,nan,nan,nan,nan
8800,9.236722946166992,758.0051944120787,nan,nan,nan,nan
9000,9.244649887084961,775.591393541079,nan,nan,nan,nan
9200,9.227607727050781,793.262293477077,nan,nan,nan,nan
9400,9.245265007019043,810.7640572679229,nan,nan,nan,nan
9600,9.21352767944336,828.3314396529458,nan,nan,nan,nan
9800,9.21255111694336,846.0079394318163,nan,nan,nan,nan
10000,9.218351364135742,863.3476689057425,nan,nan,nan,nan
10000,9.218351364135742,863.3737994180992,9.30943775177002,-8.133416175842285,1.4393011331558228,0.22115778923034668
