epoch,val_loss,elapsed,test_softmin,mean_pnl,std_pnl,fees_mean
200,27.222126007080078,15.04020592616871,nan,nan,nan,nan
400,24.048084259033203,30.284397185314447,nan,nan,nan,nan
600,21.192323684692383,45.31752960337326,nan,nan,nan,nan
800,22.195648193359375,60.17007642798126,nan,nan,nan,nan
1000,36.842384338378906,75.09122562035918,nan,nan,nan,nan
1200,25.71172523498535,90.36576548824087,nan,nan,nan,nan
1400,23.300567626953125,105.48575695697218,nan,nan,nan,nan
1600,23.964710235595703,120.59240045538172,nan,nan,nan,nan
1800,23.400110244750977,135.7893197950907,nan,nan,nan,nan
2000,37.52129364013672,150.8703972599469,nan,nan,nan,nan
2200,45.39256286621094,165.93103234516457,nan,nan,nan,nan
2400,26.698402404785156,180.9313149312511,nan,nan,nan,nan
2600,37.77595520019531,195.95819358713925,nan,nan,nan,nan
2800,33.79909133911133,210.95233574137092,nan,nan,nan,nan
3000,32.20868682861328,225.99395025335252,nan,nan,nan,nan
3200,30.313486099243164,241.06222707638517,nan,nan,nan,nan
3400,29.685558319091797,256.2157910852693,nan,nan,nan,nan
3600,28.178049087524414,271.29844317538664,nan,nan,nan,nan
3800,26.198755264282227,286.3550860420801,nan,nan,nan,nan
4000,25.744895935058594,301.32549792714417,nan,nan,nan,nan
4200,25.445356369018555,316.410502190236,nan,nan,nan,nan
4400,25.033222198486328,331.580890619196,nan,nan,nan,nan
4600,23.726787567138672,346.60600065020844,nan,nan,nan,nan
4800,24.842113494873047,361.6075031221844,nan,nan,nan,nan
5000,24.765323638916016,376.7079452192411,nan,nan,nan,nan
5200,23.08751678466797,391.7177013461478,nan,nan,nan,nan
5400,24.133455276489258,406.69620008720085,nan,nan,nan,nan
5600,22.82674789428711,421.6781050171703,nan,nan,nan,nan
5800,23.351478576660156,436.49162415927276,nan,nan,nan,nan
6000,21.919523239135742,451.53654150199145,nan,nan,nan,nan
6200,21.51482391357422,466.4276952929795,nan,nan,nan,nan
6400,33.44976043701172,481.4002042110078,nan,nan,nan,nan
6600,21.62407684326172,496.0650264862925,nan,nan,nan,nan
6800,21.457752227783203,510.89698545308784,nan,nan,nan,nan
7000,25.00768280029297,525.834431966301,nan,nan,nan,nan
7200,20.889453887939453,540.6730521642603,nan,nan,nan,nan
7400,20.960208892822266,555.3352693771012,nan,nan,nan,nan
7600,25.599533081054688,570.0765391942114,nan,nan,nan,nan
7800,23.947486877441406,584.7917777793482,nan,nan,nan,nan
8000,22.067596435546875,599.3856011163443,nan,nan,nan,nan
8200,20.055313110351562,614.0360447843559,nan,nan,nan,nan
8400,31.657791137695312,628.859195027966,nan,nan,nan,nan
8600,19.627826690673828,643.436826182995,nan,nan,nan,nan
8800,19.866819381713867,658.0610371790826,nan,nan,nan,nan
9000,54.43038558959961,672.7037752303295,nan,nan,nan,nan
9200,24.55042266845703,687.4620978473686,nan,nan,nan,nan
9400,24.00552749633789,702.3138857050799,nan,nan,nan,nan
9600,22.38479995727539,717.1166196390986,nan,nan,nan,nan
9800,22.334575653076172,731.9608407202177,nan,nan,nan,nan
10000,22.22755241394043,746.6431786729954,nan,nan,nan,nan
10000,22.22755241394043,746.6608901801519,19.627206802368164,-8.120410919189453,5.335876941680908,0.285178542137146
