method,cost,softmin,gap_vs_dh_deviation,mean_pnl,std_pnl,fees_mean,elapsed_sec,family,band_width,leland_scale
MV no-trade fine w=0.0159,0.001,9.377236884856154,0.2176928937672873,-8.11197867052342,1.377058951981492,0.189476989492826,0.16557170590385795,mv_no_trade_fine,0.015882352941176472,
MV no-trade fine w=0.0178,0.001,9.372856358978563,0.21331236788969576,-8.109613644592423,1.3844532717233555,0.1860573794764653,0.16727500082924962,mv_no_trade_fine,0.017823529411764707,
MV no-trade fine w=0.0198,0.001,9.368141858825176,0.20859786773630873,-8.10735661871222,1.3924894846155857,0.1827775253778342,0.16875514667481184,mv_no_trade_fine,0.01976470588235294,
MV no-trade fine w=0.0217,0.001,9.36441140445012,0.20486741336125291,-8.10529815556535,1.4012530172172573,0.17963792630202002,0.16706967307254672,mv_no_trade_fine,0.02170588235294118,
MV no-trade fine w=0.0236,0.001,9.361770450632887,0.2022264595440202,-8.10338754330936,1.410471111530806,0.17662501677506917,0.16655767429620028,mv_no_trade_fine,0.023647058823529413,
MV no-trade fine w=0.0256,0.001,9.360413036136048,0.20086904504718106,-8.101611545885907,1.4202066558950595,0.1737348743119433,0.1705439416691661,mv_no_trade_fine,0.025588235294117648,
MV no-trade fine w=0.0275,0.001,9.360450270591688,0.2009062795028207,-8.099867599085927,1.4305308056454769,0.17095471049220273,0.1654849168844521,mv_no_trade_fine,0.027529411764705886,
MV no-trade fine w=0.0295,0.001,9.362535515653235,0.20299152456436786,-8.098222103417083,1.4414311138458298,0.16828651290211125,0.16887994715943933,mv_no_trade_fine,0.02947058823529412,
MV no-trade fine w=0.0314,0.001,9.365517510149807,0.2059735190609402,-8.096437266348687,1.4528571830731798,0.16571706967057317,0.17066410090774298,mv_no_trade_fine,0.031411764705882354,
MV no-trade fine w=0.0334,0.001,9.370552387202522,0.2110083961136553,-8.094735430936755,1.465015382013326,0.1632419571952671,0.17435820028185844,mv_no_trade_fine,0.033352941176470585,
MV no-trade fine w=0.0353,0.001,9.37678933200159,0.21724534091272218,-8.09284070983857,1.4776753434035357,0.16085263598573815,0.17086612107232213,mv_no_trade_fine,0.03529411764705882,
MV no-trade fine w=0.0372,0.001,9.383869380496156,0.22432538940728897,-8.091017015699183,1.4909530223526277,0.15854656417940122,0.17164417915046215,mv_no_trade_fine,0.03723529411764706,
MV no-trade fine w=0.0392,0.001,9.39218497098175,0.23264097989288324,-8.089182646388851,1.5047486889772541,0.15631935155741447,0.1723040360957384,mv_no_trade_fine,0.0391764705882353,
MV no-trade fine w=0.0411,0.001,9.401375528341706,0.241831537252839,-8.087012392467233,1.5188680474946046,0.15416259955904257,0.17268102522939444,mv_no_trade_fine,0.04111764705882354,
MV no-trade fine w=0.0431,0.001,9.411971086019525,0.25242709493065796,-8.084817331987866,1.533236317385925,0.15207881933103815,0.17191118793562055,mv_no_trade_fine,0.04305882352941177,
MV no-trade fine w=0.0450,0.001,9.42386276546591,0.26431877437704365,-8.082557891207582,1.5479403221857477,0.150063591952153,0.1716996980831027,mv_no_trade_fine,0.045,
Leland fine scale=4,0.001,9.40726792983602,0.24772393874715348,-8.122604288784379,1.4308152587603735,0.22150979852534475,0.011468675918877125,leland_fine,,4.0
Leland fine scale=6,0.001,9.373300692335487,0.21375670124661994,-8.121281111417414,1.437271753663812,0.21989236074687396,0.010404129046946764,leland_fine,,6.0
Leland fine scale=8,0.001,9.34669622099588,0.18715222990701363,-8.11999455027864,1.445900929549558,0.2183399735863461,0.010375008918344975,leland_fine,,8.0
Leland fine scale=10,0.001,9.326785324836566,0.16724133374769856,-8.118742316315993,1.4564081608291561,0.21684793881845707,0.010345840360969305,leland_fine,,10.0
Leland fine scale=12,0.001,9.312946226655349,0.1534022355664817,-8.117522363519537,1.4685321408939438,0.21541208975786968,0.010280820075422525,leland_fine,,12.0
Leland fine scale=16,0.001,9.30123740916362,0.14169341807475355,-8.115172026849313,1.496733877072877,0.21269436212958717,0.010309658944606781,leland_fine,,16.0
Leland fine scale=24,0.001,9.328432220201208,0.16888822911234058,-8.110785800218721,1.5640571301978203,0.20778967081232178,0.010205958969891071,leland_fine,,24.0
Leland fine scale=32,0.001,9.40344974688679,0.24390575579792362,-8.106752904437288,1.639377828892675,0.20346657520257866,0.010271078906953335,leland_fine,,32.0
