epoch,val_loss,elapsed
200,30.470361709594727,47.16708341900005
400,26.872209548950195,94.01418578300002
600,71.46183776855469,141.953835476
800,47.51581954956055,200.32868179700006
1000,52.06879425048828,245.73396064200006
1200,57.05730438232422,293.419493547
1400,47.26936340332031,340.096558072
1600,65.97479248046875,392.52593365200005
1800,76.59538269042969,505.03863356500005
2000,62.52102279663086,589.718144382
2200,69.19189453125,675.1086973870001
2400,69.19480895996094,786.5342084920001
2600,74.81718444824219,910.654446492
2800,64.47468566894531,1017.3020087790001
3000,70.84442138671875,1111.625433459
3200,73.2010269165039,1221.690436009
3400,66.71249389648438,1312.375575655
3600,68.25638580322266,1402.193007811
3800,67.8210220336914,1499.24869
4000,65.38874053955078,1583.052452979
4200,64.93665313720703,1668.066834027
4400,63.537540435791016,1738.257644032
4600,64.73897552490234,1809.499433608
4800,64.13768005371094,1884.794760183
5000,62.730525970458984,1964.230604424
5200,61.520626068115234,2030.8908830149999
5400,60.938655853271484,2097.50019595
5600,58.71555709838867,2159.963229658
5800,33.572669982910156,2214.237772357
6000,70.84600830078125,2264.16625602
6200,48.999149322509766,2314.652405572
6400,58.847442626953125,2367.998443386
6600,59.919342041015625,2422.017692811
6800,58.785221099853516,2476.004691921
7000,58.9332275390625,2529.428712953
7200,58.71220016479492,2584.520908686
7400,59.70547866821289,2639.049339057
7600,57.442054748535156,2697.481123272
7800,55.51415252685547,2748.19371947
8000,65.82585144042969,2798.971493992
8200,55.44247055053711,2850.852483447
8400,60.19866180419922,2905.920747243
8600,54.31816482543945,2959.775121596
8800,53.35497283935547,3015.606661478
9000,60.1282958984375,3072.634079936
9200,43.506805419921875,3126.886741485
9400,70.41210174560547,3193.058751124
9600,66.21054077148438,3279.962515243
9800,64.14927673339844,3373.38740779
10000,70.23674774169922,3462.9462582190004
