epoch,val_loss,elapsed,log_std,std,beta
200,35.9012336730957,113.41007148799963,-0.194135844707489,0.8235460519790649,0.04623710181180931
400,31.943889617919922,195.94192744199972,-0.3637244999408722,0.6950826644897461,0.04275739167911238
600,30.392942428588867,254.70879787000013,-0.5244907736778259,0.5918566584587097,0.03953955744549055
800,21.70534324645996,303.5538756899996,-0.6714622378349304,0.5109608769416809,0.03656389086402058
1000,15.286775588989258,349.6338892240001,-0.8129808902740479,0.4435339570045471,0.03381216689031207
1200,14.60157585144043,396.0930164479996,-0.9465459585189819,0.3880791664123535,0.03126753205970494
1400,14.556821823120117,442.3030275399997,-1.0757986307144165,0.34102529287338257,0.028914401264971773
1600,13.688459396362305,488.64066951099994,-1.1969282627105713,0.3021208345890045,0.026738362302320153
1800,11.31496810913086,535.2732408510001,-1.3114193677902222,0.26943734288215637,0.024726087601068415
2000,11.201404571533203,581.4644687760001,-1.4218871593475342,0.24125829339027405,0.02286525259636632
2200,12.403240203857422,627.5600958069999,-1.5268791913986206,0.2172124832868576,0.02114446024501853
2400,11.272016525268555,673.7372441339994,-1.6291335821151733,0.1960994005203247,0.019553171222093522
2600,11.05998420715332,719.1474005549999,-1.7272045612335205,0.17778068780899048,0.018081639370793556
2800,10.288265228271484,765.7044113040001,-1.8213433027267456,0.16180825233459473,0.016720852010236025
3000,10.472738265991211,818.3734601709994,-1.9150898456573486,0.14732860028743744,0.015462474735549587
3200,10.886661529541016,864.9957426909996,-2.002946376800537,0.13493712246418,0.014298800372202708
3400,9.87995719909668,911.6677796269996,-2.086047649383545,0.12417695671319962,0.013222701771925466
3600,9.823066711425781,958.9395507029994,-2.167473793029785,0.11446642130613327,0.012227588161114182
3800,9.542174339294434,1006.6486114700001,-2.246457099914551,0.10577330738306046,0.01130736477436621
4000,9.623529434204102,1054.1643623589998,-2.324291467666626,0.09785275161266327,0.010456395525912732
4200,9.569047927856445,1101.7314002140001,-2.396101951599121,0.09107226878404617,0.009669468490323487
4400,9.658014297485352,1149.3778738740002,-2.4680304527282715,0.08475161343812943,0.00894176398106338
4600,9.613791465759277,1196.9061638530002,-2.5376644134521484,0.07905081659555435,0.008268825031391936
4800,9.542068481445312,1244.8826947030002,-2.6029183864593506,0.07405713200569153,0.007646530096810125
5000,9.522880554199219,1292.751165447,-2.6688308715820312,0.06933324038982391,0.007071067811865475
5200,9.422784805297852,1340.2227336719998,-2.7314229011535645,0.06512655317783356,0.0065389136467086315
5400,9.52035903930664,1387.7815015759998,-2.7935030460357666,0.061206430196762085,0.0060468083204299255
5600,9.733858108520508,1435.0450774669998,-2.852463722229004,0.05770198255777359,0.005591737838964281
5800,9.25236701965332,1482.6178567279994,-2.910294532775879,0.05445968732237816,0.005170915035302762
6000,9.580535888671875,1530.2159886849995,-2.9672458171844482,0.051444802433252335,0.004781762498950185
6200,9.45008373260498,1577.689630578,-3.023261308670044,0.048642322421073914,0.004421896790077028
6400,9.433082580566406,1625.2694096019995,-3.0788676738739014,0.04601132869720459,0.004089113841682086
6600,9.372770309448242,1672.245346498,-3.1352181434631348,0.04349026456475258,0.0037813754603586653
6800,9.291557312011719,1717.7921305129994,-3.189608335494995,0.04118799790740013,0.003496796842985617
7000,9.417466163635254,1765.8633233789997,-3.243880033493042,0.039012230932712555,0.003233635032886788
7200,9.279293060302734,1813.5837320479995,-3.2958731651306152,0.03703569248318672,0.0029902782447563947
7400,9.277502059936523,1857.3592179509997,-3.348952531814575,0.0351211242377758,0.0027652359929687966
7600,9.25241470336914,1902.1296452449997,-3.401897668838501,0.033309999853372574,0.0025571299628115566
7800,9.24069881439209,1947.462674071,-3.4544081687927246,0.031606003642082214,0.0023646855687309218
8000,9.26666259765625,1994.094926103,-3.5045347213745117,0.03006075695157051,0.002186724147886556
8200,9.247116088867188,2041.1393718629997,-3.5546345710754395,0.02859182097017765,0.0020221557412034535
8400,9.203393936157227,2088.8591858629998,-3.6048121452331543,0.027192553505301476,0.0018699724177071754
8600,9.74049186706543,2134.6355903989997,-3.6532890796661377,0.025905782356858253,0.0017292421012560372
8800,9.204429626464844,2181.2008985699995,-3.702119827270508,0.024671172723174095,0.001599102861860849
9000,9.241992950439453,2228.1424876889996,-3.7520816326141357,0.02346884086728096,0.001478757636628314
9200,9.336657524108887,2275.5229610999995,-3.8032755851745605,0.022297615185379982,0.001367469347995477
9400,9.189767837524414,2323.02984516,-3.8529391288757324,0.021217284724116325,0.0012645563893559076
9600,9.303655624389648,2370.3210572079997,-3.903818130493164,0.020164772868156433,0.0011693884504284612
9800,9.27113151550293,2418.0664215879997,-3.9543206691741943,0.019171688705682755,0.0010813826568002933
10000,9.151753425598145,2465.594097772,-4.002619743347168,0.018267719075083733,0.001
