epoch,val_loss,elapsed
200,29.320411682128906,15.552488611079752
400,30.108089447021484,31.043600388336927
600,35.07017517089844,46.56013876339421
800,34.08249282836914,62.06452729227021
1000,32.01615905761719,77.61657756520435
1200,33.8304557800293,93.39602024713531
1400,35.27772521972656,109.21072433702648
1600,29.803829193115234,124.85727951815352
1800,35.10762023925781,140.42691310634837
2000,33.45269775390625,156.05660181120038
2200,60.74549102783203,172.02881113206968
2400,40.76740646362305,188.10008641332388
2600,44.769596099853516,204.35012737102807
2800,48.75516891479492,220.44500053394586
3000,56.273353576660156,236.97813349915668
3200,79.13265228271484,253.54670962132514
3400,78.84298706054688,269.58147727604955
3600,78.82091522216797,285.6940486030653
3800,78.83019256591797,301.9095789613202
4000,81.51192474365234,318.37038175202906
4200,78.86355590820312,334.9578060270287
4400,79.26793670654297,351.31912922021
4600,82.67118072509766,367.7124725570902
4800,82.66584014892578,383.98243701504543
5000,84.84458923339844,400.2202258883044
5200,76.24773406982422,416.6231583370827
5400,77.91203308105469,433.0020255241543
5600,77.2098388671875,449.17000302905217
5800,78.72821807861328,465.5153059242293
6000,77.37026977539062,482.1392877441831
6200,82.63632202148438,498.8013587980531
6400,82.62945556640625,515.4033930930309
6600,82.62709045410156,531.9059302890673
6800,79.22480773925781,548.5812246762216
7000,80.14403533935547,564.9648765833117
7200,82.65440368652344,583.2025860333815
7400,82.882568359375,600.7463227002881
7600,82.62397003173828,617.2291066260077
7800,89.49739074707031,633.5573700461537
8000,81.60584259033203,649.9076958713122
8200,79.358154296875,665.7794455261901
8400,81.02073669433594,682.2986354590394
8600,72.2430648803711,698.7603793679737
8800,72.25205993652344,715.1823033983819
9000,74.74723815917969,731.6857995232567
9200,82.8713150024414,748.0931827323511
9400,83.23189544677734,764.5626020459458
9600,86.4001693725586,781.1812659273855
9800,83.24388122558594,797.7334943930618
10000,80.95403289794922,814.2633246243931
