epoch,val_loss,elapsed,log_std,std,beta
200,21.14936637878418,16.044958363752812,-0.19840973615646362,0.8200337886810303,0.04623710181180931
400,20.665647506713867,32.00178347574547,-0.3747348487377167,0.6874715089797974,0.04275739167911238
600,17.44420623779297,47.97448957711458,-0.5360161066055298,0.5850744843482971,0.03953955744549055
800,17.774139404296875,63.93050327105448,-0.685966432094574,0.5036032795906067,0.03656389086402058
1000,15.18493366241455,79.84971768874675,-0.8256881833076477,0.4379335343837738,0.03381216689031207
1200,12.409244537353516,96.00043961917982,-0.9560436010360718,0.3844107687473297,0.03126753205970494
1400,12.420182228088379,111.88026061793789,-1.0821212530136108,0.3388759195804596,0.028914401264971773
1600,14.663043975830078,127.9973876751028,-1.2016021013259888,0.30071204900741577,0.026738362302320153
1800,11.61371898651123,144.33332876907662,-1.314340591430664,0.26865142583847046,0.024726087601068415
2000,11.689140319824219,160.66570119094104,-1.4231534004211426,0.2409529983997345,0.02286525259636632
2200,10.381998062133789,176.37625099206343,-1.5264525413513184,0.21730518341064453,0.02114446024501853
2400,10.360417366027832,191.94685687776655,-1.6282117366790771,0.19628025591373444,0.019553171222093522
2600,10.404573440551758,208.06673611002043,-1.7241311073303223,0.17832794785499573,0.018081639370793556
2800,9.924501419067383,224.19610499311239,-1.8182226419448853,0.16231398284435272,0.016720852010236025
3000,10.212991714477539,240.17293891403824,-1.9109019041061401,0.14794689416885376,0.015462474735549587
3200,10.003345489501953,256.08981443801895,-1.9968563318252563,0.13576140999794006,0.014298800372202708
3400,9.563232421875,272.0528841679916,-2.079503297805786,0.12499228119850159,0.013222701771925466
3600,9.782121658325195,287.9775917348452,-2.1609842777252197,0.11521166563034058,0.012227588161114182
3800,9.430795669555664,304.03123596217483,-2.2363908290863037,0.10684341937303543,0.01130736477436621
4000,9.254406929016113,320.00680106598884,-2.3123626708984375,0.09902700781822205,0.010456395525912732
4200,9.49643325805664,335.674683123827,-2.3848392963409424,0.09210377931594849,0.009669468490323487
4400,9.344257354736328,351.80940979579464,-2.453263282775879,0.08601244539022446,0.00894176398106338
4600,9.152491569519043,367.7549779918045,-2.5204524993896484,0.08042320609092712,0.008268825031391936
4800,9.543926239013672,383.66185776516795,-2.5872888565063477,0.07522370666265488,0.007646530096810125
5000,9.290413856506348,400.0318588200025,-2.6514623165130615,0.07054797559976578,0.007071067811865475
5200,9.407416343688965,415.8964823298156,-2.7130424976348877,0.06633467972278595,0.0065389136467086315
5400,9.497652053833008,431.7705693501048,-2.7732861042022705,0.06245642900466919,0.0060468083204299255
5600,9.076391220092773,448.0378153230995,-2.831105947494507,0.058947622776031494,0.005591737838964281
5800,9.094943046569824,464.2356927669607,-2.88808536529541,0.055682722479104996,0.005170915035302762
6000,9.044069290161133,480.5144471670501,-2.942307472229004,0.052743881940841675,0.004781762498950185
6200,9.031813621520996,496.298914658837,-2.9980428218841553,0.0498846061527729,0.004421896790077028
6400,9.111701965332031,512.4520185240544,-3.0515694618225098,0.04728465527296066,0.004089113841682086
6600,9.131688117980957,528.8079619081691,-3.1050963401794434,0.04482020065188408,0.0037813754603586653
6800,9.148759841918945,544.8780029211193,-3.1586923599243164,0.042481254786252975,0.003496796842985617
7000,8.997482299804688,561.1914809099399,-3.211582660675049,0.04029279574751854,0.003233635032886788
7200,9.404866218566895,577.4518178077415,-3.2627673149108887,0.03828231245279312,0.0029902782447563947
7400,9.083969116210938,593.3817672450095,-3.3131654262542725,0.03640076890587807,0.0027652359929687966
7600,9.093135833740234,609.5298563498072,-3.3646445274353027,0.03457430377602577,0.0025571299628115566
7800,8.977577209472656,625.2826259359717,-3.4178695678710938,0.03278220072388649,0.0023646855687309218
8000,8.990890502929688,641.5009381780401,-3.4663898944854736,0.031229570508003235,0.002186724147886556
8200,9.205855369567871,657.6281093461439,-3.516178846359253,0.029712755233049393,0.0020221557412034535
8400,9.01591682434082,673.4079421968199,-3.5674989223480225,0.02822636254131794,0.0018699724177071754
8600,8.961787223815918,689.2974962559529,-3.61618971824646,0.02688492089509964,0.0017292421012560372
8800,8.978923797607422,705.5116974171251,-3.6650946140289307,0.025601748377084732,0.001599102861860849
9000,9.064010620117188,721.7083064028993,-3.7145087718963623,0.024367408826947212,0.001478757636628314
9200,9.051935195922852,737.294028988108,-3.7628562450408936,0.023217331618070602,0.001367469347995477
9400,8.992889404296875,752.7851129039191,-3.8105344772338867,0.022136343643069267,0.0012645563893559076
9600,9.097209930419922,767.5076235681772,-3.8569319248199463,0.021132737398147583,0.0011693884504284612
9800,8.953680038452148,782.2176849870011,-3.906528949737549,0.020110182464122772,0.0010813826568002933
10000,8.950382232666016,797.7137332330458,-3.9537272453308105,0.019183067604899406,0.001
