epoch,val_loss,elapsed
200,30.604217529296875,16.501180208753794
400,38.930335998535156,32.86180576356128
600,52.778831481933594,49.425916894804686
800,27.38619613647461,65.93981523858383
1000,24.934104919433594,82.41977820079774
1200,26.741416931152344,98.79118378367275
1400,24.45992660522461,115.29571672575548
1600,22.394371032714844,131.73860524361953
1800,23.217098236083984,148.14816181873903
2000,21.89984703063965,164.68184752156958
2200,20.630290985107422,180.97837736597285
2400,19.650110244750977,197.30339128198102
2600,17.80181884765625,213.52675851481035
2800,16.768774032592773,229.82656907197088
3000,16.918012619018555,246.057808898855
3200,16.046585083007812,262.19261509971693
3400,16.944446563720703,278.4278739988804
3600,16.007354736328125,294.74249590560794
3800,15.958616256713867,311.08616984495893
4000,16.85950469970703,327.49290639488026
4200,23.280155181884766,343.96305545791984
4400,15.376169204711914,360.54643468977883
4600,14.992219924926758,376.8630296238698
4800,23.49371337890625,393.47078768676147
5000,16.84648895263672,409.7751517947763
5200,14.452376365661621,425.96617944259197
5400,14.647607803344727,442.72625853773206
5600,13.64646053314209,459.5224745487794
5800,13.594043731689453,476.4649010836147
6000,13.618301391601562,492.8366932957433
6200,12.399530410766602,509.3660024679266
6400,13.109394073486328,525.6036341218278
6600,36.429725646972656,542.1462147166021
6800,47.201148986816406,558.5549234938808
7000,31.568683624267578,574.9940225887112
7200,27.637598037719727,593.878292078618
7400,24.70348358154297,610.3433596906252
7600,21.84738540649414,626.8400899595581
7800,28.142650604248047,643.2425962486304
8000,19.863597869873047,659.8681500558741
8200,23.240345001220703,676.2336754007265
8400,17.848817825317383,692.9918052987196
8600,15.393498420715332,709.1457737218589
8800,14.88729476928711,725.6915935105644
9000,13.692020416259766,741.9974989956245
9200,14.40523910522461,758.4125669999048
9400,16.750436782836914,774.9170322329737
9600,13.291106224060059,791.2965940376744
9800,12.863877296447754,807.609876269009
10000,12.916664123535156,823.7163773477077
