epoch,val_loss,elapsed
200,14.882522583007812,13.948070113081485
400,13.056157112121582,27.64770481036976
600,13.006362915039062,41.35511755105108
800,11.755170822143555,55.182378369383514
1000,17.12506103515625,69.12765595829114
1200,11.327842712402344,82.88671082537621
1400,11.28544807434082,96.94846578827128
1600,13.773398399353027,110.80314241023734
1800,10.777275085449219,124.72861231025308
2000,14.86208724975586,138.5495886914432
2200,12.175132751464844,152.3232930470258
2400,10.25649642944336,166.0859044562094
2600,10.546892166137695,180.04176464444026
2800,13.543539047241211,193.70289299916476
3000,11.203969955444336,207.3379376172088
3200,10.896117210388184,221.12495752610266
3400,10.35997200012207,234.73635905236006
3600,10.24235725402832,248.44552783016115
3800,11.48656940460205,262.432426514104
4000,12.619391441345215,276.14372014719993
4200,11.075003623962402,289.9638248900883
4400,11.103715896606445,303.74937238311395
4600,10.47821044921875,317.5547318360768
4800,10.634221076965332,331.32785423332825
5000,10.956698417663574,345.27214820403606
5200,10.691524505615234,359.1640177122317
5400,12.415630340576172,373.01789706619456
5600,10.397001266479492,386.92791992612183
5800,10.939628601074219,400.6671042330563
6000,10.61644172668457,414.4864124171436
6200,11.557435989379883,428.5159250460565
6400,10.184577941894531,442.1383405891247
6600,10.32822036743164,455.88751834630966
6800,10.291410446166992,469.75092040002346
7000,11.356744766235352,483.3966688471846
7200,12.356481552124023,497.23793049622327
7400,10.543588638305664,511.04408094706014
7600,10.887967109680176,524.9682210190222
7800,10.500481605529785,539.0488584539853
8000,12.871578216552734,553.0071961660869
8200,11.690333366394043,567.1198827563785
8400,10.625856399536133,581.0165779041126
8600,10.783895492553711,594.9214958050288
8800,14.329729080200195,608.9792066863738
9000,12.489736557006836,622.8421354321763
9200,10.488397598266602,636.877565828152
9400,10.683233261108398,650.7417437010445
9600,10.29338264465332,664.5651235571131
9800,10.754661560058594,678.3263272391632
10000,10.235696792602539,692.2246906743385
