epoch,val_loss,elapsed,log_std,std,beta
200,29.674898147583008,16.085845050867647,-0.19370771944522858,0.8238987326622009,0.04623710181180931
400,27.584957122802734,32.115799135062844,-0.371762216091156,0.6895182132720947,0.04275739167911238
600,22.181875228881836,48.20016211969778,-0.5314872860908508,0.5877301692962646,0.03953955744549055
800,20.296215057373047,64.3313704887405,-0.6808701157569885,0.5061763525009155,0.03656389086402058
1000,19.40761375427246,80.20683787576854,-0.8170735836029053,0.44172242283821106,0.03381216689031207
1200,15.178155899047852,96.24508922267705,-0.9473035335540771,0.38778528571128845,0.03126753205970494
1400,16.84663200378418,112.19126969808713,-1.0726052522659302,0.3421160578727722,0.028914401264971773
1600,12.053256034851074,128.25630369083956,-1.1924779415130615,0.30346834659576416,0.026738362302320153
1800,11.265098571777344,144.29009613674134,-1.3058379888534546,0.27094539999961853,0.024726087601068415
2000,12.096603393554688,161.77536669187248,-1.4173017740249634,0.24236710369586945,0.02286525259636632
2200,11.238897323608398,178.16111423587427,-1.5248304605484009,0.21765796840190887,0.02114446024501853
2400,10.443832397460938,194.29797214269638,-1.6260225772857666,0.19671042263507843,0.019553171222093522
2600,10.761222839355469,210.56235062191263,-1.725394368171692,0.1781027913093567,0.018081639370793556
2800,10.485050201416016,226.78728176187724,-1.8214807510375977,0.1617860198020935,0.016720852010236025
3000,9.880805969238281,242.7822169866413,-1.9113481044769287,0.1478808969259262,0.015462474735549587
3200,11.397991180419922,258.9658183399588,-2.000053882598877,0.1353279948234558,0.014298800372202708
3400,9.744674682617188,275.11758238682523,-2.0841474533081055,0.1244131475687027,0.013222701771925466
3600,9.855453491210938,291.68222983786836,-2.166172504425049,0.11461546272039413,0.012227588161114182
3800,9.675254821777344,307.95728171570227,-2.245704174041748,0.10585296899080276,0.01130736477436621
4000,9.629995346069336,323.9696389460005,-2.3199970722198486,0.0982738733291626,0.010456395525912732
4200,9.549407005310059,340.044161779806,-2.3959977626800537,0.09108175337314606,0.009669468490323487
4400,9.612618446350098,356.4373296578415,-2.4643027782440186,0.08506813645362854,0.00894176398106338
4600,9.385032653808594,372.77107800589874,-2.5330700874328613,0.07941483706235886,0.008268825031391936
4800,9.309051513671875,389.0241665588692,-2.6008083820343018,0.07421356439590454,0.007646530096810125
5000,9.383342742919922,405.31426787609234,-2.6670713424682617,0.0694553405046463,0.007071067811865475
5200,9.428438186645508,422.0819930648431,-2.7314743995666504,0.06512320041656494,0.0065389136467086315
5400,9.270986557006836,438.45973268384114,-2.792426347732544,0.06127236783504486,0.0060468083204299255
5600,9.205428123474121,454.7812798079103,-2.8529388904571533,0.05767457187175751,0.005591737838964281
5800,9.240753173828125,471.177918758709,-2.9097278118133545,0.05449056252837181,0.005170915035302762
6000,9.34602165222168,487.6500891870819,-2.9669129848480225,0.051461927592754364,0.004781762498950185
6200,9.26723861694336,503.99758556764573,-3.025294303894043,0.048543531447649,0.004421896790077028
6400,9.245954513549805,520.3658247957937,-3.0801470279693604,0.04595250263810158,0.004089113841682086
6600,9.23951530456543,536.8610100778751,-3.1349844932556152,0.04350042715668678,0.0037813754603586653
6800,9.29107666015625,553.051331507042,-3.1879565715789795,0.04125609248876572,0.003496796842985617
7000,9.282011032104492,569.090175173711,-3.2416164875030518,0.039100635796785355,0.003233635032886788
7200,9.372795104980469,585.3974481760524,-3.294426679611206,0.03708930313587189,0.0029902782447563947
7400,9.401408195495605,601.9330533649772,-3.3459954261779785,0.03522513434290886,0.0027652359929687966
7600,9.190604209899902,618.2641258300282,-3.3980536460876465,0.03343828767538071,0.0025571299628115566
7800,9.198796272277832,634.362796974834,-3.4496066570281982,0.03175812587141991,0.0023646855687309218
8000,9.210855484008789,650.4160008118488,-3.4993176460266113,0.03021799586713314,0.002186724147886556
8200,9.319364547729492,666.4893409777433,-3.548783540725708,0.028759602457284927,0.0020221557412034535
8400,9.241142272949219,682.6482304106466,-3.599783182144165,0.027329647913575172,0.0018699724177071754
8600,9.234014511108398,698.7830280628987,-3.6504299640655518,0.02597995661199093,0.0017292421012560372
8800,9.165745735168457,714.5109446886927,-3.6999564170837402,0.024724604561924934,0.001599102861860849
9000,9.252826690673828,731.2787452577613,-3.7510263919830322,0.02349361963570118,0.001478757636628314
9200,9.241689682006836,746.0807977709919,-3.8003549575805664,0.022362833842635155,0.001367469347995477
9400,9.197895050048828,761.3449773569591,-3.8487367630004883,0.021306635811924934,0.0012645563893559076
9600,9.2772855758667,776.7991205989383,-3.89848256111145,0.020272651687264442,0.0011693884504284612
9800,9.132264137268066,792.4234622549266,-3.9475085735321045,0.01930273324251175,0.0010813826568002933
10000,9.162843704223633,807.9055623286404,-3.997126579284668,0.018368342891335487,0.001
